,cpu_statistics_task_percent_guest,stack_utilization_time,pagefaults_task_pid,task_switching_time,cpu_statistics_task_percent_usr,kernel_statistics_uid,task_switching_uid,stack_utilization_pid,stack_utilization_uid,pagefaults_task_minflt_s,pagefaults_task_time,threads_child_time,threads_task_time,threads_task_percent_guest,cpu_statistics_child_time,policy_pid,cpu_statistics_task_time,kernel_statistics_time,threads_task_percent_usr,pagefaults_child_time,kernel_tables_uid,pagefaults_task_rss,kernel_tables_pid,cpu_statistics_task_pid,kernel_statistics_kb_wr_s,cpu_statistics_task_cpu,threads_child_uid,pagefaults_task_percent_mem,kernel_tables_time,cpu_statistics_task_percent_cpu,kernel_statistics_kb_rd_s,cpu_statistics_child_uid,pagefaults_task_vsz,task_switching_pid,task_switching_nvcswch_s,pagefaults_task_uid,policy_time,policy_uid,cpu_statistics_task_uid,threads_task_percent_cpu,cpu_statistics_task_percent_system,kernel_statistics_pid,cpu_statistics_child_pid,stack_utilization_stkref,threads_task_uid,pagefaults_task_majflt_s,pagefaults_child_uid,stack_utilization_stksize,threads_task_percent_system,pagefaults_child_pid,task_switching_cswch_s,kernel_statistics_kb_ccwr_s,threads_task_cpu,timepoint
30,0.0,233100,20,233100,0.0,0,0,20,0,0.0,233059,233100,233100,0.0,233059,20,233059,233059,0.0,233059,0,3164,20,20,0.0,2,0,0.02,233100,0.0,0.0,0,6548,20,0.0,0,233059,0,0,0.0,0.0,20,20,52,0,0.0,0,132,0.0,20,0.0,0.0,2,2.0
31,0.0,233100,20,233100,0.0,0,0,20,0,0.0,233059,233100,233100,0.0,233059,20,233059,233059,0.0,233059,0,3164,20,20,0.0,2,0,0.02,233100,0.0,0.0,0,6548,20,0.0,0,233059,0,0,0.0,0.0,20,20,52,0,0.0,0,132,0.0,20,0.0,0.0,2,2.0
32,0.0,233100,20,233100,0.0,0,0,20,0,0.0,233059,233100,233100,0.0,233059,20,233059,233059,0.0,233059,0,3164,20,20,0.0,2,0,0.02,233100,0.0,0.0,0,6548,20,0.0,0,233059,0,0,0.0,0.0,20,20,52,0,0.0,0,132,0.0,20,0.0,0.0,2,2.0
33,0.0,233102,20,233103,0.0,0,0,20,0,0.0,233102,233102,233102,0.0,233102,20,233102,233102,0.0,233102,0,3164,20,20,0.0,2,0,0.02,233102,0.0,0.0,0,6548,20,0.0,0,233102,0,0,0.0,0.0,20,20,52,0,0.0,0,132,0.0,20,0.0,0.0,2,3.0
34,0.0,233102,20,233103,0.0,0,0,20,0,0.0,233102,233102,233102,0.0,233102,20,233102,233102,0.0,233102,0,3164,20,20,0.0,2,0,0.02,233102,0.0,0.0,0,6548,20,0.0,0,233102,0,0,0.0,0.0,20,20,52,0,0.0,0,132,0.0,20,0.0,0.0,2,3.0
35,0.0,233102,20,233103,0.0,0,0,20,0,0.0,233102,233102,233102,0.0,233102,20,233102,233102,0.0,233102,0,3164,20,20,0.0,2,0,0.02,233102,0.0,0.0,0,6548,20,0.0,0,233102,0,0,0.0,0.0,20,20,52,0,0.0,0,132,0.0,20,0.0,0.0,2,3.0
36,0.0,233102,20,233103,0.0,0,0,20,0,0.0,233102,233102,233102,0.0,233102,20,233102,233102,0.0,233102,0,3164,20,20,0.0,2,0,0.02,233102,0.0,0.0,0,6548,20,0.0,0,233102,0,0,0.0,0.0,20,20,52,0,0.0,0,132,0.0,20,0.0,0.0,2,3.0
37,0.0,233102,20,233103,0.0,0,0,20,0,0.0,233102,233102,233102,0.0,233102,20,233102,233102,0.0,233102,0,3164,20,20,0.0,2,0,0.02,233102,0.0,0.0,0,6548,20,0.0,0,233102,0,0,0.0,0.0,20,20,52,0,0.0,0,132,0.0,20,0.0,0.0,2,3.0
38,0.0,233102,20,233103,0.0,0,0,20,0,0.0,233102,233102,233102,0.0,233102,20,233102,233102,0.0,233102,0,3164,20,20,0.0,2,0,0.02,233102,0.0,0.0,0,6548,20,0.0,0,233102,0,0,0.0,0.0,20,20,52,0,0.0,0,132,0.0,20,0.0,0.0,2,3.0
39,0.0,233102,20,233103,0.0,0,0,20,0,0.0,233102,233102,233102,0.0,233102,20,233102,233102,0.0,233102,0,3164,20,20,0.0,2,0,0.02,233102,0.0,0.0,0,6548,20,0.0,0,233102,0,0,0.0,0.0,20,20,52,0,0.0,0,132,0.0,20,0.0,0.0,2,3.0
