,pagefaults_uid,pagefaults_percent_mem,kernel_statistics_uid,kernel_statistics_kb_wr_s,kernel_statistics_kb_rd_s,threads_percent_usr,task_switching_pid,threads_cpu,threads_percent_system,task_switching_uid,stack_utilization_uid,cpu_statistics_time,task_switching_nvcswch_s,threads_percent_cpu,cpu_statistics_pid,pagefaults_minflt_s,pagefaults_vsz,kernel_tables_time,pagefaults_majflt_s,policy_uid,cpu_statistics_percent_guest,policy_time,policy_pid,pagefaults_pid,cpu_statistics_percent_system,stack_utilization_pid,kernel_tables_pid,stack_utilization_time,task_switching_time,threads_percent_guest,cpu_statistics_uid,kernel_statistics_time,stack_utilization_stkref,threads_time,cpu_statistics_percent_usr,kernel_tables_uid,stack_utilization_stksize,pagefaults_time,kernel_statistics_pid,kernel_statistics_kb_ccwr_s,cpu_statistics_cpu,cpu_statistics_percent_cpu,threads_uid,task_switching_cswch_s,pagefaults_rss,timepoint
0,0,0.02,0,0.0,0.0,0.0,21,6,0.0,0,0,151915,0.0,0.0,21,0.0,6548,151915,0.0,0,0.0,151915,21,21,0.0,21,21,151915,151915,0.0,0,151915,48,151915,0.0,0,132,151915,21,0.0,6,0.0,0,0.0,3176,0.0
1,0,0.02,0,0.0,0.0,0.0,21,6,0.0,0,0,151915,0.0,0.0,21,0.0,6548,151915,0.0,0,0.0,151915,21,21,0.0,21,21,151915,151915,0.0,0,151915,48,151915,0.0,0,132,151915,21,0.0,6,0.0,0,0.0,3176,0.0
2,0,0.02,0,0.0,0.0,0.0,21,6,0.0,0,0,151915,0.0,0.0,21,0.0,6548,151915,0.0,0,0.0,151915,21,21,0.0,21,21,151915,151915,0.0,0,151915,48,151915,0.0,0,132,151915,21,0.0,6,0.0,0,0.0,3176,0.0
3,0,0.02,0,0.0,0.0,0.0,21,6,0.0,0,0,151915,0.0,0.0,21,0.0,6548,151915,0.0,0,0.0,151915,21,21,0.0,21,21,151915,151915,0.0,0,151915,48,151915,0.0,0,132,151915,21,0.0,6,0.0,0,0.0,3176,0.0
4,0,0.02,0,0.0,0.0,0.0,21,6,0.0,0,0,151915,0.0,0.0,21,0.0,6548,151915,0.0,0,0.0,151915,21,21,0.0,21,21,151915,151915,0.0,0,151915,48,151915,0.0,0,132,151915,21,0.0,6,0.0,0,0.0,3176,0.0
5,0,0.02,0,0.0,0.0,0.0,21,6,0.0,0,0,151915,0.0,0.0,21,0.0,6548,151915,0.0,0,0.0,151915,21,21,0.0,21,21,151915,151915,0.0,0,151915,48,151915,0.0,0,132,151915,21,0.0,6,0.0,0,0.0,3176,0.0
6,0,0.02,0,0.0,0.0,0.0,21,6,0.0,0,0,151915,0.0,0.0,21,0.0,6548,151915,0.0,0,0.0,151915,21,21,0.0,21,21,151915,151915,0.0,0,151915,48,151915,0.0,0,132,151915,21,0.0,6,0.0,0,0.0,3176,0.0
7,0,0.02,0,0.0,0.0,0.0,21,6,0.0,0,0,151915,0.0,0.0,21,0.0,6548,151915,0.0,0,0.0,151915,21,21,0.0,21,21,151915,151915,0.0,0,151915,48,151915,0.0,0,132,151915,21,0.0,6,0.0,0,0.0,3176,0.0
8,0,0.02,0,0.0,0.0,0.0,21,6,0.0,0,0,151917,0.0,0.0,21,0.0,6548,151918,0.0,0,0.0,151918,21,21,0.0,21,21,151918,151918,0.0,0,151918,48,151918,0.0,0,132,151918,21,0.0,6,0.0,0,0.0,3176,1.0
9,0,0.02,0,0.0,0.0,0.0,21,6,0.0,0,0,151917,0.0,0.0,21,0.0,6548,151918,0.0,0,0.0,151918,21,21,0.0,21,21,151918,151918,0.0,0,151918,48,151918,0.0,0,132,151918,21,0.0,6,0.0,0,0.0,3176,1.0
10,0,0.02,0,0.0,0.0,0.0,21,6,0.0,0,0,151917,0.0,0.0,21,0.0,6548,151918,0.0,0,0.0,151918,21,21,0.0,21,21,151918,151918,0.0,0,151918,48,151918,0.0,0,132,151918,21,0.0,6,0.0,0,0.0,3176,1.0
11,0,0.02,0,0.0,0.0,0.0,21,6,0.0,0,0,151917,0.0,0.0,21,0.0,6548,151918,0.0,0,0.0,151918,21,21,0.0,21,21,151918,151918,0.0,0,151918,48,151918,0.0,0,132,151918,21,0.0,6,0.0,0,0.0,3176,1.0
12,0,0.02,0,0.0,0.0,0.0,21,6,0.0,0,0,151917,0.0,0.0,21,0.0,6548,151918,0.0,0,0.0,151918,21,21,0.0,21,21,151918,151918,0.0,0,151918,48,151918,0.0,0,132,151918,21,0.0,6,0.0,0,0.0,3176,1.0
